Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses,
gray, system-noise, 7, 5, 7020422884, 16884287480, 12456901660, 625513536, 1056339, 64655222, 2898365, 102309609, 4480081, 5676105, 1916610, 964600608, 548480622, 8805462, 14564213, 352596034, 168090935, 2570996, 3156807, 339097193, 178944333, 2474881, 3194232, 
gray, system-noise, 7, 6, 7020517600, 14842439001, 12558379993, 628369689, 978325, 60345197, 2952637, 94978318, 4154640, 3572343, 1935917, 531152597, 313425196, 3552969, 6868101, 341839534, 184465005, 2481301, 3277251, 355595558, 170344080, 2515899, 3291696, 
gray, system-noise, 8, 1, 8020579823, 19035612650, 14252520360, 714499769, 1190269, 72704756, 3241627, 113669340, 5322020, 3423202, 1869392, 588760992, 348221453, 3872285, 7690302, 403524663, 190404631, 2922016, 3690239, 388619915, 201091150, 2820387, 3610011, 
gray, system-noise, 8, 2, 8020050638, 17603892054, 14325193310, 716635694, 1122837, 69570223, 3271868, 108682840, 4858575, 3933668, 2122827, 594311012, 347624908, 4057189, 7559928, 390597349, 187463262, 2840472, 3263916, 396638322, 203010190, 2854016, 3447240, 
gray, system-noise, 8, 3, 8020453059, 17303347176, 14335300392, 716909802, 1113546, 68721240, 3347358, 107563526, 4560127, 4364730, 2369140, 630827128, 387939436, 4076154, 8213358, 388914573, 212181055, 2826504, 3771021, 398226819, 197927525, 2873893, 3699343, 
gray, system-noise, 8, 4, 8020458720, 17783016668, 14326548083, 716773934, 1109932, 69264369, 3230217, 108880696, 5032345, 3599533, 1936384, 568038641, 340933010, 4320936, 7583732, 388708772, 190356576, 2830431, 3123366, 396312437, 205718702, 2852664, 3744464, 
gray, system-noise, 8, 5, 8020283242, 16297317913, 14389951375, 717929071, 1050171, 66146914, 3398683, 104003234, 4569955, 3497946, 1908640, 588558549, 362225996, 3941511, 8026003, 394903742, 200492428, 2816143, 3568102, 406845031, 181540867, 2932437, 3451136, 
gray, system-noise, 8, 6, 8020516992, 19093653965, 14252894272, 714848723, 1155082, 72420354, 3203476, 113301659, 5125374, 4130982, 2387979, 611317299, 398006830, 4054567, 8329567, 402945756, 191466313, 2934085, 3532817, 389372032, 202140601, 2831476, 3681494, 
gray, system-noise, 9, 1, 9020466690, 21359173084, 16017169686, 803064990, 1315334, 81299942, 3670086, 126072818, 5641625, 4347638, 2344507, 729193385, 428167622, 4445887, 9276803, 446168246, 225494236, 3210810, 4184522, 444198267, 225342012, 3056764, 4365208, 
gray, system-noise, 9, 2, 9020633387, 20699247516, 16055277045, 803662741, 1272972, 79697579, 3700993, 123322348, 5685764, 3884946, 1995593, 656238851, 378066111, 4290412, 8360140, 459923441, 205256515, 3323308, 4122529, 442023483, 236054653, 3171309, 4381733, 
gray, system-noise, 9, 3, 9020418278, 20558583794, 16079042633, 804483849, 1242519, 78336260, 3674460, 122729073, 5551836, 3698840, 1944987, 646877606, 371743055, 4405182, 8335544, 461680962, 202908832, 3323620, 4157219, 443950325, 233752848, 3177954, 4369724, 
gray, system-noise, 9, 4, 9020415624, 20196871009, 16079829401, 804248231, 1261102, 78383557, 3654752, 121784856, 5246649, 3724039, 1956715, 643309602, 371703619, 4424056, 8140271, 437585497, 217657908, 3188942, 3741479, 442581812, 232992858, 3180397, 4307859, 
gray, system-noise, 9, 5, 9020522661, 20562567234, 16066358685, 804191909, 1260132, 78677912, 3705368, 122213363, 5380144, 3728140, 1986511, 629369970, 377406992, 4509793, 8398385, 464071965, 203142494, 3310704, 3878911, 442582385, 233981225, 3168825, 4433278, 
gray, system-noise, 9, 6, 9020531059, 21613539552, 16013735646, 803009129, 1327460, 81842522, 3732945, 127164640, 5809315, 4178666, 2325769, 719934100, 425735489, 4230395, 9068346, 443541215, 229780313, 3175861, 4143256, 445734934, 229792179, 3185334, 4223043, 
gray, system-noise, 10, 1, 10020415025, 23759341843, 17801284746, 891645462, 1422256, 89199639, 4023211, 138123622, 6347753, 4537194, 2446729, 799666227, 464951415, 4762103, 10404162, 495597992, 252211218, 3532605, 4501217, 499097619, 252329259, 3537669, 4663365, 
gray, system-noise, 10, 2, 10020255226, 23629450384, 17828897258, 892716813, 1426261, 88889190, 4101722, 137917445, 5499921, 4231943, 2305616, 779862325, 461702914, 4503150, 9890706, 502822203, 240865257, 3627318, 4640625, 487639720, 251620067, 3509549, 4566762, 
gray, system-noise, 10, 3, 10020268282, 23047548543, 17849333438, 893043153, 1390175, 87098519, 4048733, 135197126, 5840458, 4470317, 2384527, 778043006, 469172363, 4930471, 9928930, 507186725, 231353721, 3681344, 4603014, 490024993, 262140295, 3520717, 4570501, 
gray, system-noise, 10, 4, 10020282445, 22384144814, 17889223604, 894119064, 1364164, 85693020, 3977265, 133030190, 5768041, 4362936, 2348550, 794520169, 464177978, 4619210, 10220969, 485261667, 240757995, 3566994, 4084636, 492221571, 256274803, 3535134, 4518733, 
gray, system-noise, 10, 5, 10020328748, 24020244022, 17788940236, 891235007, 1440444, 89972613, 4062425, 139143412, 6515963, 4066209, 2273412, 770148541, 459938196, 4370606, 9735930, 492359915, 255945278, 3546416, 4684243, 494829119, 255894071, 3547855, 4892453, 
gray, system-noise, 10, 6, 10020415016, 23952498041, 17802451178, 891749192, 1420935, 89294756, 4125738, 138825153, 6099507, 4627081, 2487191, 838639419, 491945966, 4664829, 10679369, 485433436, 267181258, 3502586, 4604944, 488581095, 267387847, 3549950, 4836422, 
gray, system-noise, 11, 1, 11020497557, 24834091489, 19659453269, 982346205, 1487130, 94121442, 4500476, 146070732, 6247216, 4568182, 2336357, 816304365, 473768576, 4996837, 10033600, 535560655, 268529679, 3895156, 4567955, 543192824, 283911615, 3891237, 5159576, 
gray, system-noise, 11, 2, 11020390981, 24383341382, 19671836485, 982386408, 1472491, 93197153, 4468671, 144548964, 6841500, 4720013, 2392815, 839360237, 478853713, 5477474, 10261258, 534379009, 290600368, 3835720, 5106892, 545066121, 276573543, 3906754, 5230925, 
gray, system-noise, 11, 3, 11020277952, 24041985628, 19659669131, 981538130, 1478156, 92600825, 4364623, 143397194, 6591039, 4355163, 2305789, 832724179, 490854335, 4935479, 11092152, 530398433, 291216472, 3859258, 4569801, 545759732, 272121537, 3975266, 5308801, 
gray, system-noise, 11, 4, 11020332175, 26505916177, 19557119074, 979549330, 1562860, 97763060, 4371211, 152089422, 7047241, 4357432, 2333202, 842188197, 494418561, 4875775, 10724458, 529515773, 297733024, 3831032, 4999964, 533245244, 297757963, 3834177, 5277298, 
gray, system-noise, 11, 5, 11020228680, 25722430939, 19618347644, 981728074, 1560945, 97021168, 4471698, 149362725, 6906390, 4603083, 2392049, 821929636, 481133505, 5017848, 10445159, 553183640, 262422348, 4004859, 4993871, 535594537, 293218614, 3846449, 5352773, 
gray, system-noise, 11, 6, 11020313232, 26166231333, 19575287997, 979970763, 1596336, 97878555, 4402202, 150714793, 6898380, 4490170, 2388658, 842670855, 483968631, 5011739, 10773247, 549626974, 269550411, 3978552, 4998521, 536120536, 280520226, 3912680, 5146422, 
gray, system-noise, 12, 1, 12020673056, 28757691083, 21354570378, 1068804176, 1654046, 105386340, 4746571, 163216714, 7552670, 5093796, 2324561, 1017621101, 588580688, 6695039, 13395116, 581294144, 320980484, 4253048, 5125836, 577907569, 320725614, 4023676, 5755038, 
gray, system-noise, 12, 2, 12020566025, 28860409823, 21343710024, 1068237735, 1660035, 106015249, 4686983, 164261034, 7197929, 4867305, 2535024, 935580119, 546074227, 5275710, 11657037, 580466640, 322856176, 4219769, 5605997, 583496769, 322989943, 4213519, 5749900, 
gray, system-noise, 12, 3, 12020445070, 28315840452, 21364376257, 1068953600, 1693227, 105147313, 4711215, 161587291, 7311465, 4257255, 2285919, 880161604, 542252379, 5099737, 11006714, 586041088, 313601573, 4238531, 5453070, 589623021, 313793807, 4233579, 5704394, 
gray, system-noise, 12, 4, 12020779959, 28582425013, 21368251821, 1068895690, 1667864, 105020326, 4678127, 162306908, 7575938, 4548277, 2384150, 901817072, 518112332, 5418424, 11384992, 596891565, 296583851, 4316577, 5532944, 583404700, 307298697, 4225156, 5723357, 
