Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
matrix-mult-l2, matrix-prod-mem, 13, 1, 13027068609, 32262195223, 35953050708, 4440130572, 83374097, 650452262, 19554984, 24545418597, 3540258765, 5756094, 92922933, 1200778088, 600020449, 7509093, 15430738, 569612900, 273116076, 3167329, 4488019, 35846904867, 11383031004, 10914764, 1441518344, 
matrix-mult-l3, matrix-prod-mem, 13, 1, 13027476073, 32679858896, 17246797891, 2011053470, 17126665, 224628618, 17020203, 12685451574, 1861022699, 5006363, 1902643572, 1526978213, 625687838, 8023787, 13998498, 554803052, 275913969, 2951895, 4338319, 34028483019, 9419809815, 9252380, 1200876264, 
matrix-mult-mem, matrix-prod-mem, 13, 1, 13034268749, 33256114476, 18011659523, 2074138358, 14440158, 299821552, 17167756, 13154493121, 1886925639, 5053700, 1932571222, 1437332674, 574730787, 8558501, 14384215, 555136123, 278457904, 2954473, 4295394, 34605181823, 9496729033, 10963121, 1200101899, 
matrix-trans-l1, matrix-prod-mem, 13, 1, 13027088894, 33938336467, 67148888296, 9736036463, 112410440, 70199352, 3473850, 19487947686, 1579359776, 5362444, 92317141, 1169870284, 588450534, 7768990, 14700820, 565538324, 263428607, 3155632, 4335624, 35237269386, 11401671142, 9428481, 1457067509, 
matrix-trans-l2, matrix-prod-mem, 13, 1, 13026799888, 34559612300, 52518093238, 7546907247, 23141354, 122260965, 10489230, 15098437070, 3231770052, 5501185, 82362577, 1141532316, 601493171, 8479670, 14501193, 560239174, 271360047, 3047923, 3989923, 35890829539, 10052087774, 11018274, 1271007097, 
matrix-trans-l3, matrix-prod-mem, 13, 1, 13027472860, 35116606994, 17269535919, 2483749000, 4643403, 100854540, 8142212, 5010154233, 2526144838, 5392099, 398827493, 1205052330, 632471850, 7581447, 14711086, 597109703, 261188583, 3387739, 4505648, 35761561093, 11527115701, 10062972, 1469760508, 
matrix-trans-mem, matrix-prod-mem, 13, 1, 13033929469, 35673083214, 11104430357, 1574964686, 9405677, 155141494, 11053698, 4595464143, 1501230383, 5656810, 276266674, 1156066725, 570086298, 8392787, 15029399, 577343838, 267244325, 3345541, 4453089, 34144512193, 11541920318, 9744670, 1475026422, 
matrix-add-l1, matrix-prod-mem, 13, 1, 13026745210, 35639779514, 37864326981, 4494354833, 3894295, 75309923, 3416766, 28830338091, 3788555576, 5855675, 91684704, 1182063587, 580376877, 8518839, 15562617, 568739299, 273587281, 3266214, 4461764, 34760233109, 11316490006, 9357893, 1448847800, 
matrix-add-l2, matrix-prod-mem, 13, 1, 13026703098, 35313619449, 32224606838, 3330077141, 61690556, 811790317, 27696466, 28709781273, 3916599622, 5731906, 93955495, 1142895758, 570721584, 8265593, 14693897, 560346591, 278950954, 3139067, 4523326, 35298453322, 11274633864, 9364043, 1441158873, 
matrix-add-l3, matrix-prod-mem, 13, 1, 13027617708, 31918077422, 16936198211, 1640720584, 14205612, 334551933, 18302159, 16674642881, 2221820143, 4684398, 2288543481, 1406206027, 564216536, 8504548, 14065827, 575958958, 266809474, 3206890, 4321026, 33268302029, 9099930699, 9490681, 1159379566, 
matrix-add-mem, matrix-prod-mem, 13, 1, 13034059270, 32477369306, 17448339148, 1668370327, 13198027, 284051813, 20266335, 17011561153, 2239803714, 5243779, 2301622322, 1436288041, 573875074, 8852181, 14862611, 549868381, 276504379, 3112835, 4442573, 33830830933, 9322033379, 10086838, 1184540428, 
matrix-prod-l1, matrix-prod-mem, 13, 1, 13026593132, 33174531990, 48764148204, 6199371813, 71872489, 69591771, 3319642, 12339219676, 689462813, 4884407, 91825981, 1194552669, 584542950, 7729546, 15585805, 552157202, 280329564, 3055187, 4528967, 34476571128, 11345462395, 9143480, 1453926392, 
matrix-prod-l2, matrix-prod-mem, 13, 1, 13026864136, 33714587656, 43125800609, 5433177488, 16940341, 108185444, 7569767, 10860584152, 2572978518, 5671521, 93739147, 1121017847, 560558775, 8195457, 14696485, 552338283, 281868769, 3053546, 4474777, 35039063584, 11311596887, 9800689, 1445581552, 
matrix-prod-l3, matrix-prod-mem, 13, 1, 13027615936, 34289815429, 18700675868, 2357748604, 4486853, 85670270, 6611331, 4753918372, 2409483965, 5536884, 227784798, 1124968602, 555133831, 9069209, 15140628, 559150509, 265371354, 3024831, 4190731, 35604883408, 11376186272, 9571664, 1453212480, 
matrix-prod-mem, matrix-prod-mem, 13, 1, 13035118049, 34896895315, 12188683121, 1527204082, 9320091, 154333356, 9284999, 4495748777, 1467421361, 5437245, 186013740, 1136531987, 561315247, 7909708, 14730389, 597315494, 258211738, 3402296, 4687885, 35540436821, 11417401141, 10159135, 1457249002, 
tree-rb-mem, matrix-prod-mem, 13, 1, 13028891212, 35442347822, 4248847933, 1036334897, 32309951, 129923012, 8253691, 2112966312, 330034950, 4955659, 292873110, 1203578460, 583586643, 7464511, 15436037, 576481371, 262395837, 3257407, 4537668, 33908002218, 11461474423, 9657486, 1470127413, 
tree-binary-mem, matrix-prod-mem, 13, 1, 13028722423, 35349861944, 2657120972, 567710272, 18437004, 98087867, 6599320, 1141456309, 273250920, 6118099, 231015587, 1247328872, 610287963, 8945115, 15685733, 569761647, 270118726, 3231306, 4564969, 34481527022, 11539258840, 10581164, 1469431513, 
heapsort-mem, matrix-prod-mem, 13, 1, 13019746550, 35094796223, 34755635772, 6121279212, 203607308, 85177674, 5744864, 15499362973, 127687859, 5700465, 166570669, 1165856160, 562058452, 8279305, 15481593, 564114336, 275912285, 3164541, 4436100, 35058867945, 11368471357, 9328967, 1455203476, 
mergesort-mem, matrix-prod-mem, 13, 1, 13021042802, 35678615732, 32107547037, 6042853129, 237399976, 104252760, 7476832, 13738268891, 229224231, 5198142, 310180820, 1168664326, 575126502, 7758683, 14756559, 555383469, 283925901, 3042793, 4460021, 35653399409, 11596582304, 12776319, 1448904841, 
qsort-mem, matrix-prod-mem, 13, 1, 13020902508, 35627607524, 34328171708, 10707727291, 111043344, 87673062, 4629648, 11731386786, 80911640, 5331450, 119352079, 1168105155, 573678531, 7727385, 15276098, 567000118, 273897267, 3237636, 4144258, 33666296512, 11496587348, 11123329, 1460516673, 
radixsort-mem, matrix-prod-mem, 13, 1, 13023436891, 33745776542, 3970815235, 658614455, 16811316, 134205915, 5356166, 1736490218, 143450248, 4645420, 232933762, 1201126720, 635496967, 7609966, 15167090, 555251317, 277942754, 3087191, 4406697, 34177769394, 11413335236, 9659037, 1459806130, 
skiplist-mem, matrix-prod-mem, 13, 1, 13368594422, 34900700545, 21836202427, 4965464275, 224121328, 277353426, 6953082, 9326629786, 192999702, 6200536, 159274465, 1278208677, 622653586, 7931100, 15905600, 570890016, 287430909, 3180365, 4495952, 35748969628, 11609967929, 9862330, 1484430872, 
lsearch-mem, matrix-prod-mem, 13, 1, 13019285219, 34985574918, 35779697547, 10200186976, 1264662, 81518614, 5371810, 12805189973, 162566707, 5485916, 91253135, 1189397374, 586471668, 7887095, 15339230, 559357313, 268773015, 3046199, 4292349, 35816391806, 11284025951, 10152218, 1437535179, 
ackermann, matrix-trans-l3, 13, 1, 13039693323, 35654331445, 54315514804, 16270297593, 23470283, 112600358, 3438113, 10931151084, 940451840, 5290095, 295547240, 1206001832, 629120762, 8026930, 15283919, 614874739, 273644872, 3582118, 4978632, 35791723208, 16923542026, 9661921, 2468689691, 
hamming, matrix-trans-l3, 13, 1, 13019529902, 35705301750, 77228296183, 2670515924, 1104877, 73206301, 3103068, 2441554078, 4018165, 6269716, 304194160, 1239469778, 607422976, 8354111, 15697021, 591613922, 279048134, 3507556, 5015073, 34129391209, 17396725974, 9397456, 2544380326, 
gray, matrix-trans-l3, 13, 1, 13019134703, 35608577429, 26499909814, 1296884980, 1244677, 72073815, 3001315, 108830992, 4032129, 4590149, 300218634, 1137346255, 555137910, 8730702, 15230974, 581744479, 283812964, 3439188, 4371394, 34720608828, 17142644880, 9402826, 2508643351, 
hanoi, matrix-trans-l3, 13, 1, 13019325379, 35399888072, 52878208873, 8820999458, 20032762, 72313715, 3186486, 20714848099, 4161818, 6084306, 298406541, 1198512583, 585038666, 8440668, 15744147, 577777377, 293888458, 3409282, 4680676, 35343888981, 17098898724, 9670927, 2496422871, 
branch, matrix-trans-l3, 13, 1, 13019302681, 32074746910, 11712659273, 1028214934, 329297128, 9168842438, 120275467, 11649204844, 4104272, 5565369, 308920897, 1211492368, 626566285, 8646132, 15061860, 585005746, 280779145, 3449256, 4763591, 33409809551, 17686234211, 9323772, 2594236800, 
longjmp, matrix-trans-l3, 13, 1, 13019076511, 32782995117, 52894942485, 11187215723, 1492534, 66910126, 3062411, 23414110082, 3953387, 5875020, 304326889, 1176291439, 590666143, 7871424, 15228662, 579402568, 290440137, 3397302, 4821213, 34091416806, 17476751504, 9557336, 2556075495, 
funccall, matrix-trans-l3, 13, 1, 13019463370, 33422293976, 31895607363, 8123375854, 1312558, 2884088601, 3281483, 14201003054, 4008721, 5229377, 301777600, 1191976993, 593660764, 8416892, 15783268, 575521410, 293294189, 3337228, 4833133, 34727726556, 17345145613, 9237251, 2537667168, 
funcret, matrix-trans-l3, 13, 1, 13019038074, 34057184470, 20524074553, 10194318245, 1838423, 68568600, 3100834, 8567275709, 3676907, 5424908, 297955660, 1187390343, 604133955, 8217165, 15528811, 582168105, 277620643, 3353048, 4547844, 35354543417, 17070844586, 9624900, 2489542386, 
cache-l1, matrix-trans-l3, 13, 1, 13019036022, 34639793755, 30377541637, 7139767361, 1132002, 71906913, 3288299, 9879085119, 36767193, 5325110, 299620297, 1228631722, 634396812, 7823879, 15454456, 616131107, 267303800, 3643454, 4977876, 35254602103, 17055364608, 9722140, 2491407311, 
cache-l2, matrix-trans-l3, 13, 1, 13019331977, 35191535097, 23554946895, 5538473782, 1176198, 101690602, 9084618, 8766984911, 4073541866, 5500689, 298141762, 1207287755, 592260596, 8339473, 15406064, 611406157, 273497343, 3580241, 4782149, 35836502817, 16945724926, 9684237, 2472875201, 
cache-l3, matrix-trans-l3, 13, 1, 13019854874, 35606535784, 9224050302, 2151105372, 1287005, 144748941, 13449867, 3090615532, 1079204951, 5870104, 716320999, 1247671855, 575278064, 8635312, 14646346, 584028419, 272285880, 3121967, 4492738, 34115495205, 17088013920, 9506565, 2497687480, 
stream-mem, matrix-trans-l3, 13, 1, 13837695887, 37915226421, 2267065371, 280318401, 4485741, 168285516, 8920736, 1645090900, 448216265, 5680185, 865526499, 1273446615, 665348727, 8330600, 15338245, 614438296, 302548863, 3538860, 5122385, 37079004235, 17714796381, 9847283, 2592401056, 
