Workload, Background, TargetDuration, Repetition, duration (ns), Core 3 cpu cycles, Core 3 instructions, Core 3 branch instructions, Core 3 branch misses, Core 3 L1 i-cache loads, Core 3 L1 i-cache misses, Core 3 L1 d-cache loads, Core 3 L1 d-cache misses, L3 cache loads, L3 cache misses, Core 0 cpu cycles, Core 0 instructions, Core 0 L1 i-cache misses, Core 0 L1 d-cache misses, Core 1 cpu cycles, Core 1 instructions, Core 1 L1 i-cache misses, Core 1 L1 d-cache misses, Core 2 cpu cycles, Core 2 instructions, Core 2 L1 i-cache misses, Core 2 L1 d-cache misses, 
funccall, system-noise, 13, 3, 13020686870, 28830343034, 27761122411, 7060391073, 1809518, 2509875382, 5491035, 12365222015, 7804745, 4822089, 2535230, 982050708, 572052403, 5741571, 12486859, 626858902, 343132433, 4547162, 5902821, 642982013, 324274717, 4638453, 6217682, 
funccall, system-noise, 13, 4, 13020817842, 31322142584, 27780242125, 7064159603, 1833594, 2465108126, 5645510, 12370431315, 8321614, 4494814, 2338919, 939863217, 552585781, 5509506, 11700380, 627855854, 350355801, 4585818, 6123975, 630579271, 350307602, 4534647, 6420280, 
funccall, system-noise, 13, 5, 13021132421, 30440915784, 27669859918, 7036373778, 1852285, 2470738927, 5552448, 12323142407, 7942859, 4510805, 2357396, 919097253, 528806922, 5850433, 11617975, 650275417, 314931116, 4705233, 6056129, 633109598, 345300445, 4554216, 6456424, 
funccall, system-noise, 13, 6, 13020966589, 28594878293, 27813710307, 7073652163, 1793269, 2520038050, 5583216, 12386820633, 7747527, 4630915, 2421864, 941949928, 552122212, 5685918, 11943721, 631402251, 339569222, 4588248, 5884959, 646939897, 320705903, 4665509, 6258042, 
funccall, system-noise, 14, 1, 14020716314, 33369964370, 29917623553, 7608272043, 2011251, 2695683561, 5969413, 13324016860, 8541349, 4603807, 2327475, 982228275, 574644910, 6048844, 12083448, 693618832, 350400545, 5025648, 6556976, 680439844, 361161273, 4962639, 6303995, 
funccall, system-noise, 14, 2, 14020801101, 33417071571, 29918864890, 7608273981, 2025949, 2685047929, 5974067, 13325234812, 8842779, 5051879, 2420983, 1044876250, 614672466, 5983083, 12633897, 693336543, 350956861, 4991300, 5927146, 680181751, 361812220, 4901369, 6603204, 
funccall, system-noise, 14, 3, 14021234458, 32824740106, 29258990646, 7440215863, 13435021, 2648053207, 5960347, 13116008160, 8623406, 4635092, 2386448, 1018081679, 580872494, 6155125, 12289808, 710464099, 340786985, 5082593, 6273123, 682214064, 371625111, 4902086, 6550266, 
funccall, system-noise, 14, 4, 14020853226, 31740711314, 29853437013, 7592760627, 1922044, 2682733450, 6000080, 13298040906, 8154210, 4499679, 2347842, 946724577, 550543466, 6296570, 11745776, 676592063, 373743890, 4909467, 6344989, 687966133, 359610083, 4964680, 6820134, 
funccall, system-noise, 14, 5, 14020875311, 33621195539, 29763325051, 7569089190, 2022569, 2651353925, 5910644, 13257270181, 8956200, 4483639, 2326725, 993058814, 584687988, 5985047, 12414041, 686683934, 363910567, 4961171, 6377340, 690405541, 364253016, 4908729, 6812414, 
funccall, system-noise, 14, 6, 14020921089, 33096125024, 29774856084, 7571839866, 1975297, 2705780854, 6059416, 13260180011, 8911863, 4969370, 2531119, 992757782, 579530387, 6454721, 12649797, 694821194, 344683271, 5020216, 6430135, 679866675, 375618803, 4914627, 6803857, 
funcret, system-noise, 5, 1, 5020101047, 11639886151, 6921456024, 3411252064, 1018149, 47081282, 2261812, 2894243202, 3249596, 4537210, 2341413, 567337168, 307515505, 3586721, 7311531, 248251598, 128128406, 1793912, 2355388, 249481813, 128223771, 1772619, 2424789, 
funcret, system-noise, 5, 2, 5020254157, 11510274949, 6922100343, 3412090183, 987488, 46359800, 2195562, 2894083705, 3069137, 3887437, 2310123, 524188105, 320995619, 2718002, 6867347, 259736167, 115039166, 1799497, 2249009, 260837232, 114917650, 1787269, 2315778, 
funcret, system-noise, 5, 3, 5020239014, 11747160812, 6922494239, 3411721110, 1026966, 47458796, 2189523, 2894713649, 3315654, 3820954, 2283479, 510565509, 314724875, 2743816, 6693738, 259850947, 109072394, 1874986, 2323751, 244287202, 119820743, 1782761, 2210484, 
funcret, system-noise, 5, 4, 5020196099, 11727807264, 6923222063, 3412252502, 1004525, 46901551, 2186309, 2895062878, 3215014, 3976241, 2326505, 472578604, 318542212, 2771704, 6743403, 260293268, 108454602, 1868798, 2292899, 245648663, 119175256, 1790768, 2183402, 
funcret, system-noise, 5, 5, 5020338427, 10150432777, 6906149613, 3407334317, 937682, 43567653, 2189400, 2886884169, 2684597, 3913702, 2304394, 461316729, 304933225, 2886530, 6388233, 245342190, 132466682, 1789786, 2322405, 253846590, 118321457, 1826840, 2348903, 
funcret, system-noise, 5, 6, 5020337680, 11798792319, 6922540324, 3411556249, 1028799, 47613098, 2201617, 2895100634, 3283035, 3934170, 2318929, 543069790, 352700313, 2691181, 7235262, 245256484, 131385991, 1761930, 2245855, 246696818, 131432244, 1751992, 2463585, 
funcret, system-noise, 6, 1, 6020290930, 14147104331, 8295653075, 4090342848, 1194707, 55818228, 2597119, 3468656662, 3865473, 22064308, 4857769, 2056570963, 1495177748, 11027871, 29056046, 295417212, 156978989, 2139541, 2802224, 296927506, 156890031, 2125965, 2938927, 
funcret, system-noise, 6, 2, 6020280192, 12605734652, 8265527890, 4078630085, 1132829, 51968302, 2610423, 3454967803, 3270314, 3255981, 1854569, 483169829, 283628228, 3218130, 6675510, 290905524, 160251653, 2103384, 2764613, 299661447, 146136381, 2174344, 2800247, 
funcret, system-noise, 6, 3, 6020240818, 12371605441, 8291722266, 4092531430, 1109254, 51131936, 2543983, 3466328802, 3325513, 3837094, 2094894, 516887920, 313356214, 3640908, 7210548, 294431308, 156527852, 2123194, 2757397, 302097573, 142213072, 2185487, 2781415, 
funcret, system-noise, 6, 4, 6020298644, 12365560353, 8290723387, 4091971786, 1116000, 51238243, 2619695, 3465866127, 3440058, 3521512, 1951636, 488967038, 287975868, 3334306, 6158712, 294266463, 156549355, 2116994, 2675961, 302974851, 142352576, 2159248, 2778455, 
funcret, system-noise, 6, 5, 6020425430, 14072472439, 8297753178, 4091275624, 1183680, 55689236, 2626264, 3468629568, 3609534, 3609472, 2025418, 552147411, 318849074, 3279241, 7272219, 295249866, 155626273, 2130645, 2700967, 297538252, 155632643, 2136839, 2951680, 
